nere[V][Trns][CtmpI][A_3Pl][P_3Pl]	nerellratki
atur[V][Trns][CtmpI][A_2Sg][P_3Du]	atullerpekek
cen̄irte[V][Trns][CtmpI][A_1Sg][P_2Sg]	cen̄irtellemken
neqliur[V][Trns][CtmpI][A_2Pl][P_1Pl]	neqliullerpecikut
nere[V][Trns][CtmpII][A_3Pl][P_3Pl]	nernginanratki
atur[V][Trns][CtmpII][A_2Sg][P_3Du]	atuinanerpekek
cen̄irte[V][Trns][CtmpII][A_1Sg][P_2Sg]	cen̄irrnginanemken
neqliur[V][Trns][CtmpII][A_2Pl][P_1Pl]	neqliurinanerpecikut
nere[V][Intr][CtmpI][S_3Sg]	nerellrani
nere[V][Intr][Cnsq][S_3Sg]	nerngan
nere[V][Intr][CtmpII][S_3Pl]	nernginanratni
nere[V][Intr][Cnsq][S_3Pl]	nerngata
qavar[V][Intr][CtmpI][S_2Sg]	qavallerpeni
qavar[V][Intr][Cnsq][S_2Sg]	qavaavet
cali[V][Intr][CtmpII][S_1Sg]	caliinanemni
cali[V][Intr][Cnsq][S_1Sg]	caliama
ayag[V][Intr][CtmpI][S_4Sg]	ayallermini
ayag[V][Intr][Cnsq][S_4Sg]	ayiimi
cen̄irte[V][Trns][CtmpI][A_2Pl][P_1Pl]	cen̄irtellerpecikut
cen̄irte[V][Trns][CtmpII][A_4Pl][P_3Sg]	cen̄irrnginanermegteggu
cen̄irte[V][Trns][CtmpI][A_3Pl][P_4Sg]	cen̄irtellratni
cen̄irte[V][Intr][CtmpI][S_3Pl]	cen̄irtellratni
atur[V][Trns][CtmpI][A_4Sg][P_3Sg]	atullerminiu
atur[V][Trns][Cnsq][A_4Sg][P_3Sg]	atuamiu
qalarte-@:(u)te[V→V][V][Trns][CtmpII][A_4Sg][P_1Sg]	qalarusnginanerminia
qalarte-@:(u)te[V→V][V][Trns][Conc][A_4Sg][P_1Sg]	qalarutʼngermia
nere[V][Trns][CtmpI][A_3Sg][P_3Sg]	nerellraniu
nere[V][Trns][CtmpI][A_3Sg][P_3Sg]	nerellraku
nere[V][Trns][CtmpI][A_3Sg][P_3Sg]	nerellragu
tangerr[V][Trns][CtmpI][A_3Sg][P_1Sg]	tangellrania
tangerr[V][Trns][CtmpI][A_3Sg][P_1Sg]	tangellranga
ikayur[V][Trns][CtmpII][A_2Sg][P_1Sg]	ikayuinanerpenia
ikayur[V][Trns][CtmpII][A_2Sg][P_1Sg]	ikayuinanerpenga
ellallir-–llru[V→V][V][Intr][Cnsq][S_3Sg]	ellallillruan
ellallir[V][Intr][CtmpI][S_3Sg]	ellallillrani
yuurte[V][Intr][CtmpI][S_1Sg]	yuurtellemni
ellallir[V][Intr][Cnsq][S_3Sg]	ellallian
nuna-–kegtaar(ar*)[N→N][N][Abs][Unpd][Sg]	nunakegtaar
angyar-–kegtaar(ar*)[N→N][N][Abs][Unpd][Sg]	angyaqegtaar
angyar-–kegtaar(ar*)[N→N][N][Abs][Unpd][Sg]	angyakegtaar
angyar-–kegci[N→V][V][Intr][Ind][S_1Sg]	angyaqegciunga
angyar-–kegci[N→V][V][Intr][Ind][S_1Sg]	angyakegciunga
kenir-@~–yu[V→V][V][Intr][Ind][S_2Sg]	keniyuuten
kegge-@~–yu[V→V][V][Intr][Ind][S_3Sg]	keggsuuq
nacig-–tu[V→V][V][Intr][Ind][S_3Sg]	nacituuq
tatame-–tu[V→V][V][Intr][Ind][S_2Sg]	tatametuuten
tatame-–tu[V→V][V][Intr][Ind][S_2Sg]	tatamtuuten
imange-–tu[V→V][V][Intr][Ind][S_3Sg]	imangetuuq
imange-–tu[V→V][V][Intr][Ind][S_3Sg]	imangtuuq
imar-+tu[N→V][V][Intr][Ind][S_3Sg]	imartuuq
aki-+tu[N→V][V][Intr][Ind][S_3Sg]	akituuq
umyuar-+tu[N→V][V][Intr][Ind][S_3Sg]	umyuartuuq
sug-+tu[N→V][V][Intr][Ind][S_3Sg]	sugtuuq
cug-+tu[N→V][V][Intr][Ind][S_3Sg]	cugtuuq
imar-+kite[N→V][V][Intr][Ind][S_3Sg]	imarkituq
aki-+kite[N→V][V][Intr][Ind][S_3Sg]	akikituq
sug-+kite[N→V][V][Intr][Ind][S_3Sg]	sugkituq
cug-+kite[N→V][V][Intr][Ind][S_3Sg]	cugkituq
qaner-@~–yuli[V→N][N][Abs][Unpd][Sg]	qanyuli
nuteg-@~–yuli[V→N][N][Abs][Unpd][Sg]	nutyuli
naveg-–tuli[V→N][N][Abs][Unpd][Sg]	navtuli
pinir-–qapiar(ar)[V→V][V][Intr][Ind][S_3Sg]	piniqapiartuq
pinir-–qapigte[V→V][V][Intr][Ind][S_3Sg]	piniqapigtuq
kaig-–qapiar(ar)[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	kaikapiarallruuq
kaig-–qapigte[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	kaikapigtellruuq
ange-–piar[V→V][V][Intr][Ind][S_3Sg]	angpiartuq
ange-–piar[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	angpiallruuq
ange-–qapiar(ar)[V→V][V][Intr][Ind][S_3Sg]	angqapiartuq
ange-–qapiar(ar)[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	angqapiarallruuq
ange-–qapigte[V→V][V][Intr][Ind][S_3Sg]	angqapigtuq
ange-–qapigte[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	angqapigtellruuq
cuka-–piar[V→V][V][Intr][Ind][S_3Sg]	cukpiartuq
cuka-–piar[V→V][V][Intr][Ind][S_3Sg]	cukapiartuq
assir-–piar[V→V][V][Intr][Ind][S_3Sg]	aspiartuq
assir-–qapiar(ar)[V→V][V][Intr][Ind][S_3Sg]	asqapiartuq
assir-–qapigte[V→V][V][Intr][Ind][S_3Sg]	asqapigtuq
assir-–piar[V→V][V][Intr][Ind][S_3Sg]	assipiartuq
assir-–qapiar(ar)[V→V][V][Intr][Ind][S_3Sg]	assiqapiartuq
assir-–qapigte[V→V][V][Intr][Ind][S_3Sg]	assiqapigtuq
qavarni-–kaca(g)ar[V→V][V][Intr][Ind][S_3Sg]	qavarnikacaartuq
qavarni-–kaca(g)ar[V→V][V][Intr][Ind][S_3Sg]	qavarnikacagartuq
pinir-–kaca(g)ar[V→V][V][Intr][Ind][S_3Sg]	pinikacagartuq
yug-+tar[N→N][N][Abs][Unpd][Sg]	yugtaq
kassʼar-+tar[N→N][N][Abs][Unpd][Sg]	kassʼartaq
kiag-+tar[N→N][N][Abs][Unpd][Sg]	kiagtaq
tuqu-@~+yarpiar[V→V][V][Intr][Ind][S_3Sg]	tuquyarpiartuq
igte-@~+yarpiar[V→V]-–llru[V→V][V][Intr][Ind][S_1Sg]	igcarpiallruunga
ayuqe-@~+yarpiar[V→V][V][Intr][Ind][S_3Sg]	ayuqsarpiartuq
atsar-––lir[N→V][V][Intr][Ind][S_3Sg]	atsalirtuq
atsar-––lir[N→V][V][Intr][Ind][S_3Sg]	atsirtuq
ellallug-––lir[N→V][V][Intr][Ind][S_3Sg]	ellallirtuq
akerte-––lir[N→V][V][Intr][Ind][S_3Sg]	akercirtuq
qanug-––lir[N→V][V][Intr][Ind][S_3Sg]	qanirtuq
taitug-––lir[N→V][V][Intr][Ind][S_3Sg]	taicirtuq
pirte-––lir[N→V][V][Intr][Ind][S_3Sg]	pircirtuq
pirtug-––lir[N→V][V][Intr][Ind][S_3Sg]	pircirtuq
iralur-––lir[N→V][V][Intr][Ind][S_3Sg]	iralirtuq
qiuryar-––lir[N→V][V][Intr][Ind][S_3Sg]	qiuryirtuq
puyur-––lir[N→V][V][Intr][Ind][S_3Sg]	puyirtuq
agyar-––lir[N→V][V][Intr][Ind][S_3Sg]	agyirtuq
kallug-––lir[N→V][V][Intr][Ind][S_3Sg]	kallirtuq
agluryar-––lir[N→V][V][Intr][Ind][S_3Sg]	agluryirtuq
minug-––lir[N→V][V][Intr][Ind][S_3Sg]	minirtuq
amirlu[V][Intr][Ind][S_3Sg]	amirluuq
amirlur-––lir[N→V][V][Intr][Ind][S_3Sg]	amirlirtuq
taluyar-––lir[N→V][V][Intr][Ind][S_3Sg]	taluyirtuq
kuvyar-––lir[N→V][V][Intr][Ind][S_3Sg]	kuvyirtuq
kapkaanar-––lir[N→V][V][Intr][Ind][S_3Sg]	kapkaanirtuq
inarte-@~+naur[V→V][V][Intr][Ind][S_3Sg]	inarrnaurtuq
ayag-@~+naur[V→V][V][Intr][Ind][S_1Pl]	ayagnaurtukut
