mam-+tu[N→V][V][Intr][Ind][S_3Sg]	mamtuuq
mam-+kite[N→V][V][Intr][Ind][S_3Sg]	mamkituq
assir-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	assiriuq
kavir-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	kaviriuq
cuka-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	cukariuq
tungu-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	tunguriuq
ange-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	angliuq
take-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	takliuq
nanite-@+(r/l)i[V→V][V][Intr][Ind][S_3Pl]	naniliut
uqiggete-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	uqiggeliuq
uqiggete-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	uqigliuq
iq-+kite[N→V]-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	iqkilliuq
iq-+kite[N→V]-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	iqkelliuq
mam-+kite[N→V]-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	mamkilliuq
mam-+kite[N→V]-@+(r/l)i[V→V][V][Intr][Ind][S_3Sg]	mamkelliuq
assir-:(ng)i:rute[V→V][V][Intr][Ind][S_3Sg]	assiirutuq
kemeg-:(ng)i:rute[N→V][V][Intr][Ind][S_3Sg]	kemgiutuq
uqamar-:(ng)i:rute[N→V][V][Intr][Ind][S_3Sg]	uqamairutuq
aipar-:(ng)i:rute[N→V][V][Intr][Ind][S_3Sg]	aipairutuq
angyar-:(ng)i:rute[N→V][V][Intr][Ind][S_3Sg]	angyairutuq
kuuvviar-:(ng)i:rute[N→V][V][Intr][Ind][S_3Sg]	kuuvviariutuq
akute-@~–yuirute[V→V][V][Intr][Ind][S_3Sg]	akucuirutuq
tiiviir-@~+yuumir[V→V]-:(ng)i:rute[V→V][V][Intr][Ind][S_3Sg]	tiiviiryuumiirutuq
kipute-@~+ngairute[V→V][V][Trns][Ind][A_1Sg][P_3Pl]	kipusngairutanka
ipgiate-:(ng)i:rute[V→V][V][Intr][Ind][S_3Sg]	ipgiarutuq
puqiate-:(ng)i:rute[V→V][V][Intr][Ind][S_3Sg]	puqiarutuq
piniate-:(ng)i:rute[V→V][V][Intr][Ind][S_3Sg]	piniarutuq
qia-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	qialria
qilug-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	qilulria
iqair-+'(g)i[V→V]-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	iqairilria
qia-–lria/@ngur*[V→N][N][Abl_Mod][Unpd][Sg]	qialriamek
taqe-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	taqellria
tekite-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	tekitellria
nere-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	nerelria
iter-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	itellria
qaner-–lria/@ngur*[V→N][N][Abs][Unpd][Sg]	qanelria
qilug-–lria/@ngur*[V→N][N][Rel][Unpd][Sg]	qilulriim
qavar-–lria/@ngur*[V→N][N][Abs][Unpd][Pl]	qavalriit
