aana[N][Abs][1SgPoss][SgPosd]	aanaka
ciute[N][Abs][1SgPoss][SgPosd]	ciuteka
[e]ne[N][Abs][1SgPoss][SgPosd]	nekʼa
panig[N][Abs][1SgPoss][SgPosd]	panika
tallir[N][Abs][1SgPoss][SgPosd]	talliqa
[e]ne-–cuar(ar*)[N→N][N][Abs][1SgPoss][SgPosd]	necuaraqa
[e]ne-–cuar(ar*)[N→N][N][Abs][1SgPoss][SgPosd]	necuarqa
ater[N][Abs][1SgPoss][SgPosd]	atqa
egaler[N][Abs][1SgPoss][SgPosd]	egaleqa
nuliar[N][Abs][1SgPoss][SgPosd]	nuliaqa
nulirr[N][Abs][1SgPoss][SgPosd]	nulirqa
aata[N][Abs][1SgPoss][SgPosd]	aataka
ata[N][Abs][1SgPoss][SgPosd]	ataka
ii[N][Abs][1SgPoss][DuPosd]	iigka
ciute[N][Abs][1SgPoss][DuPosd]	ciutegka
nuyar[N][Abs][1SgPoss][PlPosd]	nuyanka
irur[N][Abs][1SgPoss][DuPosd]	irugka
pilugug[N][Abs][1SgPoss][DuPosd]	piluguugka
kameksag[N][Abs][1SgPoss][DuPosd]	kameksiigka
angayuqar*[N][Abs][1SgPoss][DuPosd]	angayuqaagka
irniar[N][Abs][1SgPoss][PlPosd]	irnianka
qiir*[N][Abs][1SgPoss][PlPosd]	qiirenka
[e]ne-–cuar(ar*)[N→N][N][Abs][1SgPoss][PlPosd]	necuaraanka
aata[N][Abs][2SgPoss][SgPosd]	aatan
ui[N][Abs][2SgPoss][SgPosd]	uin
qimugte[N][Abs][2SgPoss][SgPosd]	qimugten
uyaqur[N][Abs][2SgPoss][SgPosd]	uyaqun
anngar[N][Abs][2SgPoss][SgPosd]	anngan
qetunrar*[N][Abs][2SgPoss][SgPosd]	qetunraan
panig[N][Abs][2SgPoss][SgPosd]	paniin
piipir[N][Abs][2SgPoss][SgPosd]	piipin
ater[N][Abs][2SgPoss][SgPosd]	atren
qimugte[N][Abs][2SgPoss][PlPosd]	qimugteten
qimugte[N][Abs][2SgPoss][DuPosd]	qimugtegken
kameksag[N][Abs][2SgPoss][PlPosd]	kameksaten
kameksag[N][Abs][2SgPoss][DuPosd]	kameksiigken
qetunrar*[N][Abs][2SgPoss][PlPosd]	qetunraten
qetunrar*[N][Abs][2SgPoss][DuPosd]	qetunraagken
egaler[N][Abs][2SgPoss][PlPosd]	egaleten
egaler[N][Abs][2SgPoss][DuPosd]	egalregken
aata[N][Abs][1PlPoss][SgPosd]	aataput
aata[N][Abs][1PlPoss][PlPosd]	aataput
[e]ne[N][Abs][2PlPoss][SgPosd]	necʼi
[e]ne[N][Abs][2PlPoss][PlPosd]	necʼi
aana-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	aanauguq
ui-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	uinguuq
cavute-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	cavutnguuq
igte-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	igteńguuq
qair*-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	qairuuq
kuig-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	kuiguuq
egaler-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	egalruuq
asver-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	asveruuq
asver-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	asevruuq
angyar-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	angyauguq
atkug-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	atkuuguq
[e]ne-–cuar(ar*)[N→N]-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	necuarauguq
yug-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	yuuguq
yugʼ-:~(ng)u[N→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	yugʼullruuq
yugʼ-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	yuguuq
elitnauriste-–pig[N→N]-:~(ng)u[N→V][V][Intr][Ind][S_1Sg]	elitnauristepiugua
elitnauriste-–piar[N→N]-:~(ng)u[N→V][V][Intr][Ind][S_1Sg]	elitnauristepiaruunga
nutarar[N][Abs][Unpd][Sg]	nutaraq
akʼallar[N][Abs][Unpd][Sg]	akʼallaq
akʼallar*[N][Abs][Unpd][Pl]	akʼallaat
akʼallar*[N][Abl_Mod][Unpd][Sg]	akʼallarmek
nutarar[N][Abl_Mod][Unpd][Sg]	nutaramek
akʼallar-:~(ng)u[N→V][V][Intr][Ind][S_3Du]	akʼallauguk
akʼallar*-:~(ng)u[N→V][V][Intr][Ind][S_3Du]	akʼallauguk
nutarar-:~(ng)u[N→V][V][Intr][Ind][S_3Sg]	nutarauguq
amller[N][Abs][Unpd][Pl]	amlleret
amller[N][Abl_Mod][Unpd][Pl]	amllernek
amller[V][Intr][Ind][S_3Pl]	amllertut
cali-–ksaite[V→V][V][Intr][Ind][S_3Sg]	caliksaituq
tekite-–ksaite[V→V][V][Intr][Ind][S_3Pl]	tekiteksaitut
ayag-–ksaite[V→V][V][Intr][Ind][S_3Sg]	ayaksaituq
qavar-–ksaite[V→V][V][Intr][Ind][S_1Sg]	qavaqsaitua
tai-–qatar[V→V][V][Intr][Ind][S_3Sg]	taiqatartuq
ane-–qatar[V→V][V][Intr][Ind][S_3Sg]	anqatartuq
ayag-–qatar[V→V][V][Intr][Ind][S_3Sg]	ayakatartuq
yurar-–qatar[V→V][V][Intr][Ind][S_3Sg]	yuraqatartuq
iter-–qatar[V→V][V][Intr][Ind][S_3Sg]	itqatartuq
aqume-–qatar[V→V][V][Intr][Ind][S_1Sg]	aqumeqatartua
aqume-–qatar[V→V][V][Intr][Ind][S_1Sg]	aqumqatartua
maqi[V][Intr][Opt][PRS][S_2Sg]	maqi
tai[V][Intr][Opt][PRS][S_2Sg]	taigi
aqume[V][Intr][Opt][PRS][S_2Sg]	aqumi
inarte[V][Intr][Opt][PRS][S_2Sg]	inarten
qia-–nrite[V→V][V][Intr][Opt][PRS][S_2Sg]	qianrilu
nuteg[V][Intr][Opt][PRS][S_2Sg]	nutga
kuuvviar[V][Intr][Opt][PRS][S_2Sg]	kuuvviara
qavar[V][Intr][Opt][PRS][S_2Sg]	qavaa
ayag[V][Intr][Opt][PRS][S_2Sg]	ayii
aqume[V][Intr][Opt][FUT][S_2Sg]	aqumekina
aqume[V][Intr][Opt][FUT][S_2Sg]	aqumkina
maqi[V][Intr][Opt][FUT][S_2Sg]	maqikina
tai[V][Intr][Opt][FUT][S_2Sg]	taikina
ayag[V][Intr][Opt][FUT][S_2Sg]	ayakina
qavar[V][Intr][Opt][FUT][S_2Sg]	qavaqina
elite[V][Intr][Opt][FUT][S_2Sg]	eliskina
ceńirte[V][Intr][Opt][FUT][S_2Sg]	ceńireskina
ane[V][Intr][Opt][FUT][NEG][S_2Sg]	anyaqunak
taqe[V][Intr][Opt][FUT][NEG][S_2Sg]	taqsaqunak
inarte[V][Intr][Opt][FUT][NEG][S_2Sg]	inarcaqunak
qavar[V][Intr][Opt][FUT][NEG][S_2Sg]	qavaryaqunak
